20-8-2020  18:11:54; FAP; 47610; 101189990; ; 421-471; %E000%; 17DQD; P0/1; I1/1
21-8-2020  10:44:56; FAP; 47615; 101218008; ; 421-471; %E000%; 17FYL; P0/1; I1/1
21-8-2020  10:47:57; FAP; 47615; 101218174; ; 421-471; %E000%; 17FYT; P0/1; I1/1
21-8-2020  11:17:56; FAP; 47616; 101219028; ; 421-471; %E000%; 17G0Z; P0/1; I1/1
19-11-2020  00:11:57; FAP; 49767; 106893882; ; 969-1209; %E000%; 1HIID; P0/1; I1/2
19-11-2020  00:12:05; FAP; 49768; 106894012; ; 969-1210; %E000%; 1HIIE; P0/1; I2/2
22-11-2020  22:29:53; FAP; 49845; 107076991; ; 998-1301; %E000%; 1HVQT; P0/1; I1/1
29-3-2021  12:00:32; FAP; 52482; 115799148; ; 2529-3506; %E000%; 1XP9F; P0/1; I1/1
08-5-2021  11:07:27; FAP; 53409; 117955494; ; 2854-4008; %E000%; 22WND; P0/1; I1/1
15-12-2021  17:35:39; FAP; 58996; 131623949; ; 5110-7471; %E000%; 2VNTC; P0/1; I1/1
15-12-2021  17:35:40; FAP; 58996; 131624057; ; 5110-7471; %E000%; 2VNTD; P0/1; I1/1
15-12-2021  17:38:38; FAP; 58996; 131624165; ; 5110-7471; %E000%; 2VNUV; P0/1; I1/1
15-12-2021  17:41:42; FAP; 58996; 131624273; ; 5110-7471; %E000%; 2VNW9; P0/1; I1/1
16-12-2021  01:29:54; FAP; 58997; 131675196; ; 5134-7512; %E000%; 2VPT0; P0/1; I1/2
16-12-2021  01:29:56; FAP; 58998; 131675339; ; 5134-7513; %E000%; 2VPT1; P0/1; I2/2
17-12-2021  10:14:53; FAP; 59026; 131803632; ; 5110-7471; %E000%; 2VZ8Q; P0/1; I1/1
17-12-2021  10:18:43; FAP; 59026; 131803632; ; 5110-7471; %E000%; 2VZCK; P0/1; I1/1
17-12-2021  10:22:53; FAP; 59026; 131803632; ; 5110-7471; %E000%; 2VZCU; P0/1; I1/1
23-3-2022  17:18:15; FAP; 60673; 136949652; ; 6332-9105; %E000%; 32ZNI; P0/1; I1/1
15-6-2022  16:44:26; FAP; 62230; 141148311; ; 7208-10715; %E000%; 37PBM; P0/1; I1/1
12-7-2022  18:56:42; FAP; 62700; 142715843; ; 7545-11394; %E000%; 399P5; P0/1; I1/2
12-7-2022  18:56:43; FAP; 62701; 142715952; ; 7545-11395; %E000%; 399P6; P0/1; I2/2
