2023-11-28 14:40:53; 52456; 2; 192.168.0.203; Ошибка запуска заказа по внешнему запросу -> Не определен номер Asystem для перепечатки заказа
2023-11-29 11:06:04; 52456; 2; 192.168.0.203; Ошибка запуска заказа по внешнему запросу -> Не удалось получить макет файлов по заказу '25506401'
2023-12-04 11:11:11; 98021; 1; 192.168.1.44; Ошибка при попытке изменить статус заказа '296371' пользователем -> Код состояния ответа не указывает на успешное выполнение: 500 (Internal Server Error).
2023-12-04 11:11:25; 98021; 1; 192.168.1.44; Ошибка при попытке изменить статус заказа '296174' пользователем -> Код состояния ответа не указывает на успешное выполнение: 502 (Bad Gateway).
2023-12-04 11:11:29; 98021; 1; 192.168.1.44; Ошибка при попытке изменить статус заказа '296174' пользователем -> Код состояния ответа не указывает на успешное выполнение: 502 (Bad Gateway).
2023-12-11 16:38:51; 52456; 2; 192.168.0.203; Ошибка запуска заказа по внешнему запросу -> Не определен номер Asystem для перепечатки заказа '29202901'
2023-12-11 17:20:13; 98021; 1; 192.168.1.44; Ошибка при попытке изменить статус заказа '301196' пользователем -> Код состояния ответа не указывает на успешное выполнение: 522 ().
2023-12-11 17:20:44; 98021; 1; 192.168.1.44; Ошибка при попытке изменить статус заказа '295070' пользователем -> Код состояния ответа не указывает на успешное выполнение: 522 ().
2023-12-11 17:21:22; 98021; 1; 192.168.1.44; Ошибка при попытке изменить статус заказа '301196' пользователем -> Код состояния ответа не указывает на успешное выполнение: 522 ().
2023-12-14 14:05:53; 52456; 2; 192.168.0.203; Ошибка запуска заказа по внешнему запросу -> Не удалось получить макет файлов по заказу '30348301'
2023-12-14 17:31:21; 10702; 2; 192.168.0.112; Ошибка запуска заказа по внешнему запросу -> Не определен номер Asystem для перепечатки заказа '25672301'
2023-12-14 17:38:33; 10702; 2; 192.168.0.112; Ошибка запуска заказа по внешнему запросу -> Не удалось получить макет файлов по заказу '25673201'
2023-12-22 11:16:37; 10702; 2; 192.168.0.112; Ошибка запуска заказа по внешнему запросу -> Не удалось получить макет файлов по заказу '26360201'
2024-02-05 17:59:22; 10702; 2; 192.168.0.112; Ошибка запуска заказа по внешнему запросу -> Не удалось получить макет файлов по заказу '21568401'
2024-02-06 10:46:28; 10702; 2; 192.168.0.112; Ошибка запуска заказа по внешнему запросу -> Не удалось получить макет файлов по заказу '26363801'
2024-02-09 17:44:18; 10702; 2; 192.168.0.112; Ошибка запуска заказа по внешнему запросу -> Не удалось получить макет файлов по заказу '26363801'
2024-03-04 10:33:38; 10702; 2; 192.168.0.112; Ошибка запуска заказа по внешнему запросу -> Найдено более одной копии файлов заказа'336947'
