2025-2-4  15:49:52; ASK; 30584-0001B; 208153432; %E000%; 402031
2025-2-4  15:49:52; ASK; 200730-0001A; 208152126; %E000%; 402026
2025-2-4  15:49:53; ASK; 200730-0001B; 208152314; %E000%; 402027
2025-2-4  15:49:53; ASK; 22334-0001A; 208152413; %E000%; 402028
2025-2-4  15:49:54; ASK; 303932-0001A; 208153056; %E000%; 402029
2025-2-4  15:49:54; ASK; 30584-0001A; 208153244; %E000%; 402030
2025-2-4  15:49:54; ASK; 326930-0001B; 208153531; %E000%; 402032
2025-2-17  17:51:40; ASK; 356309-0100B; 208871143; %E000%; 402655
2025-2-17  17:51:41; ASK; 33333-0100A; 208870726; %E000%; 402653
2025-2-17  17:51:41; ASK; 356309-0100A; 208870954; %E000%; 402654
2025-2-17  17:51:42; ASK; 368207-0100A; 208871258; %E000%; 402656
2025-2-17  17:51:42; ASK; 368207-0100B; 208871612; %E000%; 402657
2025-2-17  17:51:43; ASK; 368869-0100B; 208871788; %E000%; 402658
2025-2-17  17:51:44; ASK; 369138-0100B; 208871903; %E000%; 402659
2025-2-17  17:51:45; ASK; 369817-0100B; 208872018; %E000%; 402660
2025-2-17  17:51:45; ASK; 44444-0100A; 208872133; %E000%; 402661
2025-3-24  11:5:39; ASK; 415559-0100B; 210772310; %E000%; 403940
2025-3-24  11:5:40; ASK; 408818-0100B; 210771741; %E000%; 403936
2025-3-24  11:5:41; ASK; 409154-0100B; 210771857; %E000%; 403937
2025-3-24  11:5:41; ASK; 414337-0100B; 210771973; %E000%; 403938
2025-3-24  11:5:42; ASK; 415559-0100A; 210772120; %E000%; 403939
2025-4-7  12:23:6; ASK; 425395-0100B; 211813343; %E000%; 405228
2025-4-7  12:23:7; ASK; 1111-0100A; 211812773; %E000%; 405225
2025-4-7  12:23:7; ASK; 2222-0100A; 211812963; %E000%; 405226
2025-4-7  12:23:7; ASK; 423231-0100A; 211813153; %E000%; 405227
2025-4-7  12:23:8; ASK; 426166-0100B; 211813459; %E000%; 405229
2025-4-7  12:23:9; ASK; 428205-0100B; 211813691; %E000%; 405231
2025-4-7  12:23:9; ASK; 429254-0100B; 211813807; %E000%; 405232
2025-4-7  12:23:10; ASK; 429670-0100B; 211813923; %E000%; 405233
2025-4-7  12:23:11; ASK; 427479-0100B; 211813575; %E000%; 405230
