2019-12-13  2:8:56; PPP; 7562-7562; %E000%; 0066279
2019-12-13  2:8:59; PPP; 7563-7563; %E000%; 0066280
2019-12-13  2:9:0; PPP; 7564-7564; %E000%; 0066281
2019-12-13  2:9:3; PPP; 7565-7565; %E000%; 0066282
2019-12-13  2:9:5; PPP; 7566-7566; %E000%; 0066283
2019-12-13  2:9:7; PPP; 7569-7569; %E000%; 0066284
2019-12-13  2:9:9; PPP; 7570-7570; %E000%; 0066285
2019-12-13  2:9:11; PPP; 7571-7571; %E000%; 0066286
2019-12-13  2:9:13; PPP; 7572-7572; %E000%; 0066287
2019-12-13  2:9:16; PPP; 7573-7573; %E000%; 0066288
2019-12-13  2:9:18; PPP; 7574-7574; %E000%; 0066289
2019-12-13  2:9:18; PPP; 7575-7575; %E000%; 0066290
2019-12-13  2:9:20; PPP; 7576-7576; %E000%; 0066291
2019-12-13  2:9:22; PPP; 7578-7578; %E000%; 0066292
2019-12-13  2:9:24; PPP; 7579-7579; %E000%; 0066293
2019-12-13  2:9:26; PPP; 7581-7581; %E000%; 0066294
2019-12-13  2:9:28; PPP; 7583-7583; %E000%; 0066295
2019-12-13  2:9:30; PPP; 7554-7554; %E000%; 0066273
2019-12-14  2:8:21; PPP; 7584-7584; %E000%; 0066527
2019-12-14  2:8:21; PPP; 7585-7585; %E000%; 0066529
2019-12-14  2:8:23; PPP; 7586-7586; %E000%; 0066531
2019-12-14  2:8:25; PPP; 7587-7587; %E000%; 0066533
2019-12-14  2:8:29; PPP; 7589-7589; %E000%; 0066534
2019-12-14  2:8:31; PPP; 7593-7593; %E000%; 0066535
2019-12-14  2:8:33; PPP; 7594-7594; %E000%; 0066536
2019-12-14  2:8:34; PPP; 7596-7596; %E000%; 0066538
2019-12-14  2:8:36; PPP; 7599-7599; %E000%; 0066540
2019-12-14  2:8:37; PPP; 7595-7595; %E000%; 0066537
2019-12-14  2:8:37; PPP; 7598-7598; %E000%; 0066539
2019-12-14  2:8:39; PPP; 7601-7601; %E000%; 0066541
2019-12-14  2:8:41; PPP; 7605-7605; %E000%; 0066542
2019-12-14  2:8:44; PPP; 7613-7613; %E000%; 0066548
2019-12-14  2:8:46; PPP; 7606-7606; %E000%; 0066543
2019-12-14  2:8:47; PPP; 7639-7639; %E000%; 0066563
2019-12-14  2:8:49; PPP; 7607-7607; %E000%; 0066544
2019-12-14  2:8:51; PPP; 7609-7609; %E000%; 0066545
2019-12-14  2:8:54; PPP; 7610-7610; %E000%; 0066546
2019-12-14  2:8:56; PPP; 7612-7612; %E000%; 0066547
2019-12-14  2:8:57; PPP; 7694-7694; %E000%; 0066599
2019-12-14  2:8:59; PPP; 7614-7614; %E000%; 0066549
2019-12-14  2:9:2; PPP; 7617-7617; %E000%; 0066550
2019-12-14  2:9:4; PPP; 7618-7618; %E000%; 0066551
2019-12-14  2:9:6; PPP; 7619-7619; %E000%; 0066552
2019-12-14  2:9:8; PPP; 7656-7656; %E000%; 0066574
2019-12-14  2:9:10; PPP; 7620-7620; %E000%; 0066553
2019-12-14  2:9:12; PPP; 7622-7622; %E000%; 0066554
2019-12-14  2:9:14; PPP; 7623-7623; %E000%; 0066555
2019-12-14  2:9:17; PPP; 7626-7626; %E000%; 0066556
2019-12-14  2:9:19; PPP; 7673-7673; %E000%; 0066586
2019-12-14  2:9:20; PPP; 7627-7627; %E000%; 0066557
