2024-10-9  12:27:49; TCS; 20459-31068; 202180252; %E000%; 1/1; 9
2025-1-20  16:28:13; TCS; 23789-35236; 207303302; %E000%; 1/2; 564
2025-1-20  16:28:13; TCS; 23789-35237; 207303377; %E000%; 2/2; 565
2025-1-27  19:24:40; TCS; 23970-35444; 207716723; %E000%; 1/2; 604
2025-1-27  19:24:40; TCS; 23970-35445; 207716807; %E000%; 2/2; 605
2025-2-13  16:39:42; TCS; 24479-36069; 208712970; %E000%; 1/1; 683
2025-2-20  17:45:53; TCS; 24657-36277; 209073708; %E000%; 1/1; 730
2025-4-22  12:38:54; TCS; 25994-38159; 213053734; %E000%; 1/2; 976
2025-4-22  12:38:54; TCS; 25994-38160; 213054070; %E000%; 2/2; 977
2025-4-22  13:24:15; TCS; 25996-38187; 213072946; %E000%; 1/2; 978
2025-4-22  13:24:15; TCS; 25996-38188; 213073117; %E000%; 2/2; 979
2025-4-28  12:12:39; TCS; 26111-38393; 213503777; %E000%; 1/1; 1009
2025-4-30  15:44:0; TCS; 26181-38582; 213778489; %E000%; 1/1; 1013
2025-5-12  12:24:0; TCS; 26425-39312; 214298002; %E000%; 1/1; 1035
