2022-11-17  9:55:26; VRU; 5295-1887; 150963788; %E000%; 284360
2022-11-17  9:55:29; VRU; 5095-1781; 150962155; %E000%; 284352
2022-11-17  9:55:29; VRU; 5263-1818; 150962478; %E000%; 284354
2022-11-17  9:55:32; VRU; 5277-1867; 150962898; %E000%; 284356
2022-11-17  9:55:34; VRU; 5277-1939; 150963156; %E000%; 284357
2022-11-17  10:0:42; VRU; 5288-1955; 150963516; %E000%; 284359
2022-11-17  10:0:43; VRU; 5295-1935; 150964091; %E000%; 284361
2022-11-17  10:0:44; VRU; 5296-1889; 150964218; %E000%; 284362
2022-11-17  10:0:44; VRU; 5296-1966; 150964536; %E000%; 284363
2022-11-17  10:0:45; VRU; 5299-1891; 150964818; %E000%; 284364
2022-11-17  10:0:45; VRU; 5299-1927; 150965144; %E000%; 284365
2022-11-17  10:6:12; VRU; 578-1020; 150966172; %E000%; 284371
2022-11-17  10:6:13; VRU; 5312-1951; 150965678; %E000%; 284368
2022-11-17  10:6:13; VRU; 5301-1893; 150965232; %E000%; 284366
2022-11-17  10:6:14; VRU; 5301-1964; 150965581; %E000%; 284367
2022-11-17  10:6:15; VRU; 5324-1917; 150965783; %E000%; 284369
2022-11-17  10:6:16; VRU; 5324-1972; 150966084; %E000%; 284370
2022-11-17  10:11:33; VRU; 5288-1880; 150963244; %E000%; 284358
2022-11-17  14:12:11; VRU; 5292-1884; 150989116; %E000%; 284378
2022-11-17  14:21:9; VRU; 5294-1973; 150989733; %E000%; 284380
2022-11-17  14:21:11; VRU; 5294-1886; 150989448; %E000%; 284379
2022-11-17  14:29:24; VRU; 5312-1905; 150990034; %E000%; 284381
2022-11-17  14:51:32; VRU; 5284-1875; 151065596; %E000%; 284611
2022-11-17  15:14:27; VRU; 5284-1994; 151065868; %E000%; 284612
2022-11-18  10:13:52; VRU; 5323-1916; 151065956; %E000%; 284613
2022-11-23  10:38:23; VRU; 5289-1995; 151481065; %E000%; 285941
